track_id,track_name,album_name,album_id,popular,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7qiZfU4dY1lWllzX7mPBI3,Shape of You,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,True,0.665,0.741,0.0,-3.694,1.0,0.0787,0.154,3.02e-05,0.345,0.57,144.968,audio_features,1YscJ7yVTlFxW3eF6pv5ba,spotify:track:1YscJ7yVTlFxW3eF6pv5ba,https://api.spotify.com/v1/tracks/1YscJ7yVTlFxW3eF6pv5ba,https://api.spotify.com/v1/audio-analysis/1YscJ7yVTlFxW3eF6pv5ba,156893.0,4.0
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,4yP0hdKOZPNshxUOjY0cZj,True,0.632,0.732,6.0,-3.498,1.0,0.092,0.105,1.15e-05,0.111,0.317,159.0,audio_features,2J0NXdHr6MYvKDSxB7k3V2,spotify:track:2J0NXdHr6MYvKDSxB7k3V2,https://api.spotify.com/v1/tracks/2J0NXdHr6MYvKDSxB7k3V2,https://api.spotify.com/v1/audio-analysis/2J0NXdHr6MYvKDSxB7k3V2,221173.0,4.0
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,0UywfDKYlyiu1b38DRrzYD,True,0.302,0.373,4.0,-7.998,0.0,0.0336,0.943,0.384,0.349,0.359,76.674,audio_features,1DM0p3WrhjLh6sddmLK0c9,spotify:track:1DM0p3WrhjLh6sddmLK0c9,https://api.spotify.com/v1/tracks/1DM0p3WrhjLh6sddmLK0c9,https://api.spotify.com/v1/audio-analysis/1DM0p3WrhjLh6sddmLK0c9,40427.0,4.0
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,True,0.516,0.834,11.0,-5.453,0.0,0.242,0.492,0.00221,0.273,0.566,171.829,audio_features,6KLgKZwCJp8GWo35KEOF3S,spotify:track:6KLgKZwCJp8GWo35KEOF3S,https://api.spotify.com/v1/tracks/6KLgKZwCJp8GWo35KEOF3S,https://api.spotify.com/v1/audio-analysis/6KLgKZwCJp8GWo35KEOF3S,205053.0,4.0
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,True,0.663,0.699,4.0,-5.505,1.0,0.0287,0.576,6.06e-06,0.237,0.611,97.046,audio_features,03YrTPLMgGXQOlKTTBwgiO,spotify:track:03YrTPLMgGXQOlKTTBwgiO,https://api.spotify.com/v1/tracks/03YrTPLMgGXQOlKTTBwgiO,https://api.spotify.com/v1/audio-analysis/03YrTPLMgGXQOlKTTBwgiO,186800.0,4.0
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,True,0.607,0.639,3.0,-6.099,0.0,0.0285,0.0348,0.00785,0.0927,0.359,107.006,audio_features,1G2Ya2ubnlS7xFfs1CfY3j,spotify:track:1G2Ya2ubnlS7xFfs1CfY3j,https://api.spotify.com/v1/tracks/1G2Ya2ubnlS7xFfs1CfY3j,https://api.spotify.com/v1/audio-analysis/1G2Ya2ubnlS7xFfs1CfY3j,240347.0,4.0
1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,40GMAhriYJRO1rsY4YdrZb,True,0.477,0.846,8.0,-5.108,1.0,0.0965,0.0283,3.84e-06,0.379,0.581,161.3,audio_features,2scd9lw4ljzDwMfG3WW4gD,spotify:track:2scd9lw4ljzDwMfG3WW4gD,https://api.spotify.com/v1/tracks/2scd9lw4ljzDwMfG3WW4gD,https://api.spotify.com/v1/audio-analysis/2scd9lw4ljzDwMfG3WW4gD,292640.0,4.0
7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,0rSLgV8p5FzfnqlEk4GzxE,True,0.364,0.64,4.0,-5.757,1.0,0.0506,0.201,7.25e-05,0.12,0.386,93.507,audio_features,6JmSfynzr6E0QllQZNEXEb,spotify:track:6JmSfynzr6E0QllQZNEXEb,https://api.spotify.com/v1/tracks/6JmSfynzr6E0QllQZNEXEb,https://api.spotify.com/v1/audio-analysis/6JmSfynzr6E0QllQZNEXEb,219213.0,4.0
0pqnGHJpmpxLKifKRmU6WP,Believer,Evolve,33pt9HBdGlAbRGBHQgsZsU,True,0.555,0.727,6.0,-4.202,1.0,0.0388,0.0579,7.52e-06,0.0937,0.739,82.142,audio_features,4JpazKcfOhbwqZrsYhzHee,spotify:track:4JpazKcfOhbwqZrsYhzHee,https://api.spotify.com/v1/tracks/4JpazKcfOhbwqZrsYhzHee,https://api.spotify.com/v1/audio-analysis/4JpazKcfOhbwqZrsYhzHee,223120.0,4.0
0TK2YIli7K1leLovkQiNik,Señorita,Señorita,2ZaX1FdZCwchXl1QZiD4O4,True,0.443,0.533,7.0,-5.956,1.0,0.0473,0.429,3.66e-06,0.332,0.596,183.791,audio_features,2DNXgvkyv35vTWvdgjs7qn,spotify:track:2DNXgvkyv35vTWvdgjs7qn,https://api.spotify.com/v1/tracks/2DNXgvkyv35vTWvdgjs7qn,https://api.spotify.com/v1/audio-analysis/2DNXgvkyv35vTWvdgjs7qn,222813.0,4.0
