track_id,track_name,album_name,album_id,popular
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Ivy To Roses (Mixtape),0syM7OUAhV7S6XmOa4nLUZ,True
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,True
4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored","thank u, next",2fYhqwDWXjbpjaIJPEfKFw,True
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Championships,6UYZEYjpN1DYRW0kqFy9ZE,True
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),Dying to Live,5n1GSzC1Reao29ScnpLYqp,True
33CfD8UkDEcSdAP9j4QpUY,All Day And Night,All Day And Night (Jax Jones & Martin Solveig Present Europa),1VQjtx21AAQnQe442bJssW,True
7LpMG3AEaIJgs62HQhAa91,i'm so tired...,~how i'm feeling~,3ZuE680xhR1A4bCFGvL8mi,True
7xQAfvXzm3AkraOtGPWIZg,Wow.,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,True
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,0UywfDKYlyiu1b38DRrzYD,True
5X5YDBavdU5RjYMlxqwlCm,Boasty (feat. Idris Elba),Boasty (feat. Idris Elba),0liwr0yeGsI5pn5GaGwTDJ,True
7DcvwMAiqKJQD1rrdfxSDx,The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),6p9Y1K9yu3ojyS8fBJXUnp,True
01tA4XmJ4fGQNwti6b2hPm,The Git Up,Honeysuckle & Lightning Bugs,2oxv6Q0GYUkYqz2dhUKo12,True
0rIAC4PXANcKmitJfoqmVm,Motivation,Motivation,2r6BEK0wzXbL8JHyCkeJkG,True
3j84U36KvLeXNDPv4t5pI8,Pure Water (with Migos),Perfect Ten,2WrNHOba5u6P9S9xEboaUy,True
4Of7rzpRpV1mWRbhp5rAqG,Bruises,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,True
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Magnets EP,41S9bfzXTSGK4HU2mp5qXH,True
5KBARWIxeMGkvUax9VtVC9,My Type,ICY,7mdpibDh6Sec6o6zItcSEH,True
5N1o6d8zGcSZSeMFkOUQOk,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,True
