track_id,track_name,album_name,album_id,popular,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7qiZfU4dY1lWllzX7mPBI3,Shape of You,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,True,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,audio_features,5wANPM4fQCJwkGd4rN57mH,spotify:track:5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/audio-analysis/5wANPM4fQCJwkGd4rN57mH,242013.0,4.0
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,4yP0hdKOZPNshxUOjY0cZj,True,0.473,0.203,2.0,-12.627,1.0,0.102,0.941,0.0,0.126,0.419,168.884,audio_features,4wcBRRpIfesgcyUtis7PEg,spotify:track:4wcBRRpIfesgcyUtis7PEg,https://api.spotify.com/v1/tracks/4wcBRRpIfesgcyUtis7PEg,https://api.spotify.com/v1/audio-analysis/4wcBRRpIfesgcyUtis7PEg,163587.0,4.0
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,0UywfDKYlyiu1b38DRrzYD,True,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,audio_features,6HU7h9RYOaPRFeh0R3UeAr,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,https://api.spotify.com/v1/tracks/6HU7h9RYOaPRFeh0R3UeAr,https://api.spotify.com/v1/audio-analysis/6HU7h9RYOaPRFeh0R3UeAr,215507.0,4.0
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,True,0.625,0.536,0.0,-5.428,1.0,0.0776,0.038,2.31e-05,0.167,0.253,159.914,audio_features,3fpVWegR6YOS1Yk5HSMYIq,spotify:track:3fpVWegR6YOS1Yk5HSMYIq,https://api.spotify.com/v1/tracks/3fpVWegR6YOS1Yk5HSMYIq,https://api.spotify.com/v1/audio-analysis/3fpVWegR6YOS1Yk5HSMYIq,221787.0,4.0
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,True,0.672,0.717,1.0,-2.714,1.0,0.034,0.341,2.4e-05,0.106,0.225,160.981,audio_features,5VuxWXbt7XENQCtE9TzpTv,spotify:track:5VuxWXbt7XENQCtE9TzpTv,https://api.spotify.com/v1/tracks/5VuxWXbt7XENQCtE9TzpTv,https://api.spotify.com/v1/audio-analysis/5VuxWXbt7XENQCtE9TzpTv,194560.0,4.0
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,True,0.599,0.571,2.0,-4.998,1.0,0.0665,0.198,0.0,0.0969,0.285,151.974,audio_features,2VdT56BGpdqNHUgOe1j5vc,spotify:track:2VdT56BGpdqNHUgOe1j5vc,https://api.spotify.com/v1/tracks/2VdT56BGpdqNHUgOe1j5vc,https://api.spotify.com/v1/audio-analysis/2VdT56BGpdqNHUgOe1j5vc,206453.0,4.0
1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,40GMAhriYJRO1rsY4YdrZb,True,0.738,0.824,5.0,-5.165,0.0,0.0437,0.15,0.0,0.132,0.386,138.039,audio_features,5lZZmityu9TAjNvSY6GLhR,spotify:track:5lZZmityu9TAjNvSY6GLhR,https://api.spotify.com/v1/tracks/5lZZmityu9TAjNvSY6GLhR,https://api.spotify.com/v1/audio-analysis/5lZZmityu9TAjNvSY6GLhR,204360.0,4.0
7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,0rSLgV8p5FzfnqlEk4GzxE,True,0.762,0.621,0.0,-6.24,1.0,0.0866,0.61,0.0,0.464,0.593,120.056,audio_features,5ffntNJnJOeFv7b7DCd0Bw,spotify:track:5ffntNJnJOeFv7b7DCd0Bw,https://api.spotify.com/v1/tracks/5ffntNJnJOeFv7b7DCd0Bw,https://api.spotify.com/v1/audio-analysis/5ffntNJnJOeFv7b7DCd0Bw,216747.0,4.0
0pqnGHJpmpxLKifKRmU6WP,Believer,Evolve,33pt9HBdGlAbRGBHQgsZsU,True,0.512,0.673,0.0,-7.359,1.0,0.0523,0.289,3.04e-06,0.126,0.11,99.84,audio_features,5BoOzegGrg5XFRR8UBDtkF,spotify:track:5BoOzegGrg5XFRR8UBDtkF,https://api.spotify.com/v1/tracks/5BoOzegGrg5XFRR8UBDtkF,https://api.spotify.com/v1/audio-analysis/5BoOzegGrg5XFRR8UBDtkF,233813.0,4.0
0TK2YIli7K1leLovkQiNik,Señorita,Señorita,2ZaX1FdZCwchXl1QZiD4O4,True,0.442,0.684,6.0,-4.888,0.0,0.168,0.191,0.0,0.0725,0.218,170.861,audio_features,02opp1cycqiFNDpLd2o1J3,spotify:track:02opp1cycqiFNDpLd2o1J3,https://api.spotify.com/v1/tracks/02opp1cycqiFNDpLd2o1J3,https://api.spotify.com/v1/audio-analysis/02opp1cycqiFNDpLd2o1J3,207680.0,4.0
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),STAY (with Justin Bieber),4QLAtpLNUsHEYrcHXmMIZZ,True,0.62,0.69,7.0,-6.508,1.0,0.0493,0.0931,0.0,0.131,0.331,133.935,audio_features,0H8XeaJunhvpBdBFIYi6Sh,spotify:track:0H8XeaJunhvpBdBFIYi6Sh,https://api.spotify.com/v1/tracks/0H8XeaJunhvpBdBFIYi6Sh,https://api.spotify.com/v1/audio-analysis/0H8XeaJunhvpBdBFIYi6Sh,234213.0,4.0
